           (0,0)            (0,0) (0,-1.09524e-17)  (0,7.49479e-17)            (0,0)            (0,0) (0,-4.49813e-17)   (0,7.1186e-17)            (0,0)          (0,0.5)  (0,-5.0996e-17)            (0,0)            (0,0)  (0,1.29315e-16)   (0,6.6601e-18)            (0,0)            (0,0)  (0,6.71527e-17)
           (0,0)            (0,0)            (0,0)    (0,-0.316742)            (0,0)            (0,0)   (0,-0.0879884)   (0,-0.0879884)            (0,0)  (0,-5.0996e-17)     (0,0.348416)            (0,0)            (0,0)  (0,-2.9131e-17)    (0,0.0799895)            (0,0)            (0,0)   (0,-0.0799895)
 (0,1.09524e-17)            (0,0)            (0,0)            (0,0)    (0,-0.316742)   (0,-0.0879884)            (0,0)            (0,0)   (0,-0.0879884)            (0,0)            (0,0)     (0,0.348416)            (0,0)            (0,0)            (0,0)    (0,0.0799895)   (0,-0.0799895)            (0,0)
(0,-7.49479e-17)     (0,0.316742)            (0,0)            (0,0) (0,-2.88389e-17)   (0,-0.0879884)            (0,0)            (0,0)    (0,0.0879884)            (0,0)            (0,0)            (0,0)     (0,0.348416)            (0,0)            (0,0)   (0,-0.0799895)   (0,-0.0799895)            (0,0)
           (0,0)            (0,0)     (0,0.316742)  (0,2.88389e-17)            (0,0)            (0,0)   (0,-0.0879884)    (0,0.0879884)            (0,0)  (0,1.29315e-16)  (0,-2.9131e-17)            (0,0)            (0,0)     (0,0.348416)   (0,-0.0799895)            (0,0)            (0,0)   (0,-0.0799895)
           (0,0)            (0,0)    (0,0.0879884)    (0,0.0879884)            (0,0)            (0,0)  (0,9.39419e-17)     (0,0.316742)            (0,0)   (0,6.6601e-18)    (0,0.0799895)            (0,0)            (0,0)   (0,-0.0799895)     (0,0.348416)            (0,0)            (0,0) (0,-1.90019e-16)
 (0,4.49813e-17)    (0,0.0879884)            (0,0)            (0,0)    (0,0.0879884) (0,-9.39419e-17)            (0,0)            (0,0)     (0,0.316742)            (0,0)            (0,0)    (0,0.0799895)   (0,-0.0799895)            (0,0)            (0,0)     (0,0.348416)  (0,9.50095e-17)            (0,0)
 (0,-7.1186e-17)    (0,0.0879884)            (0,0)            (0,0)   (0,-0.0879884)    (0,-0.316742)            (0,0)            (0,0)  (0,1.94823e-16)            (0,0)            (0,0)   (0,-0.0799895)   (0,-0.0799895)            (0,0)            (0,0)  (0,9.50095e-17)     (0,0.348416)            (0,0)
           (0,0)            (0,0)    (0,0.0879884)   (0,-0.0879884)            (0,0)            (0,0)    (0,-0.316742) (0,-1.98025e-16)            (0,0)  (0,6.71527e-17)   (0,-0.0799895)            (0,0)            (0,0)   (0,-0.0799895) (0,-1.92154e-16)            (0,0)            (0,0)     (0,0.348416)
        (0,-0.5)   (0,5.0996e-17)            (0,0)            (0,0) (0,-1.29315e-16)  (0,-6.6601e-18)            (0,0)            (0,0) (0,-6.71527e-17)            (0,0)            (0,0)  (0,1.09524e-17) (0,-7.49479e-17)            (0,0)            (0,0)  (0,4.49813e-17)  (0,-7.1186e-17)            (0,0)
  (0,5.0996e-17)    (0,-0.348416)            (0,0)            (0,0)   (0,2.9131e-17)   (0,-0.0799895)            (0,0)            (0,0)    (0,0.0799895)            (0,0)            (0,0)            (0,0)     (0,0.316742)            (0,0)            (0,0)    (0,0.0879884)    (0,0.0879884)            (0,0)
           (0,0)            (0,0)    (0,-0.348416)            (0,0)            (0,0)            (0,0)   (0,-0.0799895)    (0,0.0799895)            (0,0) (0,-1.09524e-17)            (0,0)            (0,0)            (0,0)     (0,0.316742)    (0,0.0879884)            (0,0)            (0,0)    (0,0.0879884)
           (0,0)            (0,0)            (0,0)    (0,-0.348416)            (0,0)            (0,0)    (0,0.0799895)    (0,0.0799895)            (0,0)  (0,7.49479e-17)    (0,-0.316742)            (0,0)            (0,0)  (0,2.88389e-17)    (0,0.0879884)            (0,0)            (0,0)   (0,-0.0879884)
(0,-1.29315e-16)   (0,2.9131e-17)            (0,0)            (0,0)    (0,-0.348416)    (0,0.0799895)            (0,0)            (0,0)    (0,0.0799895)            (0,0)            (0,0)    (0,-0.316742) (0,-2.88389e-17)            (0,0)            (0,0)    (0,0.0879884)   (0,-0.0879884)            (0,0)
 (0,-6.6601e-18)   (0,-0.0799895)            (0,0)            (0,0)    (0,0.0799895)    (0,-0.348416)            (0,0)            (0,0)  (0,1.90019e-16)            (0,0)            (0,0)   (0,-0.0879884)   (0,-0.0879884)            (0,0)            (0,0) (0,-9.39419e-17)    (0,-0.316742)            (0,0)
           (0,0)            (0,0)   (0,-0.0799895)    (0,0.0799895)            (0,0)            (0,0)    (0,-0.348416) (0,-9.50095e-17)            (0,0) (0,-4.49813e-17)   (0,-0.0879884)            (0,0)            (0,0)   (0,-0.0879884)  (0,9.39419e-17)            (0,0)            (0,0)    (0,-0.316742)
           (0,0)            (0,0)    (0,0.0799895)    (0,0.0799895)            (0,0)            (0,0) (0,-9.50095e-17)    (0,-0.348416)            (0,0)   (0,7.1186e-17)   (0,-0.0879884)            (0,0)            (0,0)    (0,0.0879884)     (0,0.316742)            (0,0)            (0,0) (0,-1.94823e-16)
(0,-6.71527e-17)    (0,0.0799895)            (0,0)            (0,0)    (0,0.0799895)  (0,1.92154e-16)            (0,0)            (0,0)    (0,-0.348416)            (0,0)            (0,0)   (0,-0.0879884)    (0,0.0879884)            (0,0)            (0,0)     (0,0.316742)  (0,1.98025e-16)            (0,0)
