                     (0,0)                      (0,0)  (-6.17634e-19,-0.0714286)    (0.0714286,2.93503e-17)                      (0,0)                      (0,0)      (0.0505076,0.0505076)     (0.0505076,-0.0505076)                      (0,0)     (1.03257e-17,0.471429)    (0.0428571,-1.2302e-19)                      (0,0)                      (0,0)   (-4.14358e-17,0.0428571)     (-0.0303046,0.0303046)                      (0,0)                      (0,0)      (0.0303046,0.0303046)
                     (0,0)                      (0,0)   (0.00315126,1.01238e-18)    (9.65335e-17,-0.313591)                      (0,0)                      (0,0)   (-0.00222828,-0.0857601)    (0.00222828,-0.0857601)                      (0,0)   (-0.0428571,-1.2302e-19)     (9.90958e-18,0.350307)                      (0,0)                      (0,0)  (-0.00189076,7.34475e-17)    (-0.00133697,0.0786525)                      (0,0)                      (0,0)   (-0.00133697,-0.0786525)
   (6.17634e-19,0.0714286) (-0.00315126,-1.01238e-18)                      (0,0)                      (0,0)     (3.2848e-19,-0.313591)    (0.00222828,-0.0857601)                      (0,0)                      (0,0)   (-0.00222828,-0.0857601)                      (0,0)                      (0,0)               (0,0.343164)  (-0.0052521,-2.00799e-18)                      (0,0)                      (0,0)     (-0.0037138,0.0837033)    (-0.0037138,-0.0837033)                      (0,0)
 (-0.0714286,-2.93503e-17)    (-9.48123e-17,0.313591)                      (0,0)                      (0,0)  (-0.00315126,1.99886e-17)   (-0.00222828,-0.0857601)                      (0,0)                      (0,0)    (-0.00222828,0.0857601)                      (0,0)                      (0,0)   (0.0052521,-2.00799e-18)    (-5.19744e-18,0.343164)                      (0,0)                      (0,0)    (-0.0037138,-0.0837033)     (0.0037138,-0.0837033)                      (0,0)
                     (0,0)                      (0,0)     (-3.2848e-19,0.313591)  (0.00315126,-1.99886e-17)                      (0,0)                      (0,0)    (0.00222828,-0.0857601)     (0.00222828,0.0857601)                      (0,0)    (3.93313e-17,0.0428571)   (0.00189076,7.34475e-17)                      (0,0)                      (0,0)     (1.33406e-19,0.350307)   (-0.00133697,-0.0786525)                      (0,0)                      (0,0)    (0.00133697,-0.0786525)
                     (0,0)                      (0,0)    (-0.00222828,0.0857601)     (0.00222828,0.0857601)                      (0,0)                      (0,0)    (0.00315126,8.2551e-17)      (5.6713e-18,0.313591)                      (0,0)      (0.0303046,0.0303046)     (0.00133697,0.0786525)                      (0,0)                      (0,0)    (0.00133697,-0.0786525)    (-2.37539e-18,0.350307)                      (0,0)                      (0,0)  (0.00189076,-1.63046e-16)
   (-0.0505076,-0.0505076)     (0.00222828,0.0857601)                      (0,0)                      (0,0)    (-0.00222828,0.0857601) (-0.00315126,-8.37093e-17)                      (0,0)                      (0,0)    (-3.54454e-17,0.313591)                      (0,0)                      (0,0)      (0.0037138,0.0837033)     (0.0037138,-0.0837033)                      (0,0)                      (0,0)    (-1.91675e-18,0.343164)   (0.0052521,-1.09169e-16)                      (0,0)
    (-0.0505076,0.0505076)    (-0.00222828,0.0857601)                      (0,0)                      (0,0)   (-0.00222828,-0.0857601)      (-9.54e-18,-0.313591)                      (0,0)                      (0,0)  (-0.00315126,1.31161e-16)                      (0,0)                      (0,0)     (0.0037138,-0.0837033)    (-0.0037138,-0.0837033)                      (0,0)                      (0,0)  (-0.0052521,-1.09169e-16)     (4.42449e-19,0.343164)                      (0,0)
                     (0,0)                      (0,0)     (0.00222828,0.0857601)    (0.00222828,-0.0857601)                      (0,0)                      (0,0)    (4.21608e-17,-0.313591)  (0.00315126,-1.38872e-16)                      (0,0)     (-0.0303046,0.0303046)    (0.00133697,-0.0786525)                      (0,0)                      (0,0)   (-0.00133697,-0.0786525) (-0.00189076,-1.50702e-16)                      (0,0)                      (0,0)     (1.54319e-18,0.350307)
   (1.03257e-17,-0.471429)     (0.0428571,1.2302e-19)                      (0,0)                      (0,0)  (-4.14358e-17,-0.0428571)    (-0.0303046,-0.0303046)                      (0,0)                      (0,0)     (0.0303046,-0.0303046)                      (0,0)                      (0,0)   (-6.17634e-19,0.0714286)   (0.0714286,-2.93503e-17)                      (0,0)                      (0,0)     (0.0505076,-0.0505076)      (0.0505076,0.0505076)                      (0,0)
   (-0.0428571,1.2302e-19)    (9.90958e-18,-0.350307)                      (0,0)                      (0,0) (-0.00189076,-7.34475e-17)   (-0.00133697,-0.0786525)                      (0,0)                      (0,0)    (-0.00133697,0.0786525)                      (0,0)                      (0,0)  (0.00315126,-1.01238e-18)     (9.65335e-17,0.313591)                      (0,0)                      (0,0)    (-0.00222828,0.0857601)     (0.00222828,0.0857601)                      (0,0)
                     (0,0)                      (0,0)              (0,-0.343164)   (-0.0052521,2.00799e-18)                      (0,0)                      (0,0)    (-0.0037138,-0.0837033)     (-0.0037138,0.0837033)                      (0,0)   (6.17634e-19,-0.0714286)  (-0.00315126,1.01238e-18)                      (0,0)                      (0,0)      (3.2848e-19,0.313591)     (0.00222828,0.0857601)                      (0,0)                      (0,0)    (-0.00222828,0.0857601)
                     (0,0)                      (0,0)    (0.0052521,2.00799e-18)   (-5.19744e-18,-0.343164)                      (0,0)                      (0,0)     (-0.0037138,0.0837033)      (0.0037138,0.0837033)                      (0,0)   (-0.0714286,2.93503e-17)   (-9.48123e-17,-0.313591)                      (0,0)                      (0,0) (-0.00315126,-1.99886e-17)    (-0.00222828,0.0857601)                      (0,0)                      (0,0)   (-0.00222828,-0.0857601)
  (3.93313e-17,-0.0428571)  (0.00189076,-7.34475e-17)                      (0,0)                      (0,0)    (1.33406e-19,-0.350307)    (-0.00133697,0.0786525)                      (0,0)                      (0,0)     (0.00133697,0.0786525)                      (0,0)                      (0,0)    (-3.2848e-19,-0.313591)   (0.00315126,1.99886e-17)                      (0,0)                      (0,0)     (0.00222828,0.0857601)    (0.00222828,-0.0857601)                      (0,0)
    (0.0303046,-0.0303046)    (0.00133697,-0.0786525)                      (0,0)                      (0,0)     (0.00133697,0.0786525)   (-2.37539e-18,-0.350307)                      (0,0)                      (0,0)   (0.00189076,1.63046e-16)                      (0,0)                      (0,0)   (-0.00222828,-0.0857601)    (0.00222828,-0.0857601)                      (0,0)                      (0,0)   (0.00315126,-8.2551e-17)     (5.6713e-18,-0.313591)                      (0,0)
                     (0,0)                      (0,0)     (0.0037138,-0.0837033)      (0.0037138,0.0837033)                      (0,0)                      (0,0)              (0,-0.343164)    (0.0052521,9.71445e-17)                      (0,0)     (-0.0505076,0.0505076)    (0.00222828,-0.0857601)                      (0,0)                      (0,0)   (-0.00222828,-0.0857601)  (-0.00315126,8.32667e-17)                      (0,0)                      (0,0)    (-3.1225e-17,-0.313591)
                     (0,0)                      (0,0)      (0.0037138,0.0837033)     (-0.0037138,0.0837033)                      (0,0)                      (0,0)   (-0.0052521,1.11022e-16)              (0,-0.343164)                      (0,0)    (-0.0505076,-0.0505076)   (-0.00222828,-0.0857601)                      (0,0)                      (0,0)    (-0.00222828,0.0857601)    (-6.93889e-18,0.313591)                      (0,0)                      (0,0) (-0.00315126,-1.38778e-16)
   (-0.0303046,-0.0303046)     (0.00133697,0.0786525)                      (0,0)                      (0,0)    (-0.00133697,0.0786525)  (-0.00189076,1.50702e-16)                      (0,0)                      (0,0)    (1.54319e-18,-0.350307)                      (0,0)                      (0,0)    (0.00222828,-0.0857601)     (0.00222828,0.0857601)                      (0,0)                      (0,0)     (4.21608e-17,0.313591)   (0.00315126,1.38872e-16)                      (0,0)
